*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mux.2023.0.1
*Date=20:06:05
*CreatedBy=Fritzing 0.9.10b.2022-07-01.CD-2134-0-40d23c29
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
273;100k;THT;163.697;-162.739;90;Bottom;R38
274;;to-92;28.1508;-238.699;-90;Bottom;Q11
275;100nF;100 mil [THT, multilayer];114.697;-39.1989;-90;Bottom;C3
276;;to-92;231.015;-85.4531;-90;Bottom;Q50
277;;to-92;28.0558;-221.429;-90;Bottom;Q10
278;12V;THT;182.184;-194.393;0;Bottom;OMRON40
279;;to-92;28.0558;-84.4288;-90;Bottom;Q2
280;;to-92;95.0238;-222.396;-90;Bottom;Q26
281;;diode-1n4001;167.684;-126.313;-90;Bottom;D36
282;100k;THT;232.197;-179.739;90;Bottom;R55
283;;diode-1n4001;167.684;-280.473;-90;Bottom;D45
284;12V;THT;114.165;-211.396;0;Bottom;OMRON25
285;12V;THT;47.2353;-142.429;0;Bottom;OMRON5
286;100k;THT;222.887;-329.929;0;Bottom;R64
287;100k;THT;29.6572;-246.179;-90;Bottom;R11
288;;diode-1n4001;235.657;-297.533;-90;Bottom;D62
289;4.7k;THT;65.6969;-46.3489;90;Bottom;R69
290;;to-92;163.043;-154.393;-90;Bottom;Q38
291;;;232.634;-8.4027;0;Bottom;TXT1
292;100k;THT;232.697;-145.739;90;Bottom;R53
293;;diode-1n4001;235.657;-126.373;-90;Bottom;D52
294;12V;THT;47.1969;-329.429;0;Bottom;OMRON16
295;100k;THT;232.697;-94.2389;90;Bottom;R50
296;100k;THT;232.197;-282.239;90;Bottom;R61
297;;diode-1n4001;99.5981;-177.56;-90;Bottom;D23
298;;diode-1n4001;32.6969;-279.509;-90;Bottom;D13
299;;;142.114;-48.4289;0;Bottom;Hole6
300;12V;THT;250.157;-91.4531;0;Bottom;OMRON50
301;12V;THT;114.165;-108.396;0;Bottom;OMRON19
302;12V;THT;182.184;-108.393;0;Bottom;OMRON35
303;;diode-1n4001;99.665;-331.476;-90;Bottom;D32
